name,record,height,weight,reach,stance,dob
Michael Kuiper,15-5-0,"6' 0""",185 lbs.,"73""",Orthodox,"Jun 07, 1989"
Anton Kuivanen,24-10-0,"5' 8""",155 lbs.,"72""",Orthodox,"May 01, 1984"
Maiju Kujala,6-3-0,--,135 lbs.,--,,--
Sumit Kumar,8-1-0,"5' 5""",125 lbs.,"66""",Orthodox,"Sep 09, 2000"
Aleksei Kunchenko,20-2-0,"5' 8""",170 lbs.,"70""",Orthodox,"May 02, 1984"
Rizvan Kuniev,11-2-1,"6' 4""",240 lbs.,"76""",Orthodox,"Oct 03, 1992"
Keigo Kunihara,3-2-0,"6' 0""",235 lbs.,--,Orthodox,--
Kiichi Kunimoto,18-7-2 (1 NC),"5' 10""",170 lbs.,"71""",Orthodox,"May 01, 1981"
Leo Kuntz,18-4-1,"5' 10""",155 lbs.,--,Orthodox,"Oct 03, 1983"
Korey Kuppe,8-4-0,"6' 5""",170 lbs.,"77""",Switch,"Jan 23, 1989"
Ramazan Kuramagomedov,8-0-0,"6' 1""",170 lbs.,"73""",Orthodox,"Aug 23, 1996"
Tsuyoshi Kurihara,10-8-2,"5' 10""",185 lbs.,--,Orthodox,"Jul 13, 1973"
Eldari Kurtanidze,0-1-0,"5' 6""",235 lbs.,--,Orthodox,"Apr 16, 1972"
Kyle Kurtz,7-5-0,--,170 lbs.,--,,--
Guram Kutateladze,12-4-0,"5' 11""",155 lbs.,"72""",Orthodox,"Jan 08, 1992"
Lina Kvokov,0-3-0,"5' 9""",135 lbs.,--,Orthodox,--
Kaleo Kwan,11-16-0,"5' 7""",155 lbs.,--,,"Aug 01, 1970"
Jarrod Kwitty,2-2-0,"5' 8""",185 lbs.,--,,--
Mike Kyle,22-14-1 (2 NC),"6' 4""",205 lbs.,"77""",Orthodox,"Mar 31, 1980"
Achmed Labasanov,7-4-0,"6' 3""",215 lbs.,--,Orthodox,"Apr 24, 1978"
Josh LaBerge,11-6-0,"5' 10""",145 lbs.,--,,--
Jeremiah Labiano,11-5-0,"5' 10""",135 lbs.,--,,--
Daniel Lacerda,11-5-0 (1 NC),"5' 6""",125 lbs.,"70""",Switch,"Jun 05, 1996"
Luan Lacerda,12-3-0,"5' 7""",135 lbs.,"71""",Orthodox,"Jan 07, 1993"
Kemran Lachinov,3-2-0,--,170 lbs.,--,,--
Aspen Ladd,9-3-0,"5' 6""",135 lbs.,"66""",Orthodox,"Mar 01, 1995"
Ryan LaFlare,14-3-0,"6' 1""",170 lbs.,"74""",Southpaw,"Oct 01, 1983"
Corinne Laframboise,8-4-0,--,125 lbs.,--,,--
Ben Lagman,6-5-0,"6' 2""",185 lbs.,--,,"Sep 04, 1986"
Noad Lahat,11-2-0,"5' 9""",145 lbs.,"69""",Orthodox,"Jun 08, 1984"
Tina Lahdemaki,5-1-0,"5' 2""",115 lbs.,--,Orthodox,"May 28, 1988"
Yohan Lainesse,9-3-0,"6' 1""",170 lbs.,"76""",Orthodox,"Aug 14, 1992"
Tim Lajcik,7-6-1,"6' 1""",225 lbs.,--,Orthodox,"Jun 21, 1965"
Todd Lally,2-1-0,"5' 7""",145 lbs.,--,Orthodox,--
Sean Lally,7-3-0,"6' 0""",170 lbs.,--,Orthodox,"Nov 04, 1990"
Ricardo Lamas,20-8-0,"5' 8""",145 lbs.,"71""",Orthodox,"May 21, 1982"
Jason Lambert,26-13-0,"6' 3""",185 lbs.,"75""",Orthodox,"Jun 03, 1975"
Jose Landi-Jons,29-16-0,"5' 11""",170 lbs.,--,Orthodox,"Sep 09, 1973"
Nate Landwehr,17-5-0,"5' 9""",145 lbs.,"72""",Orthodox,"Jun 06, 1988"
Austen Lane,12-4-0 (1 NC),"6' 6""",245 lbs.,"80""",Orthodox,"Nov 09, 1987"
Aaron Lanfranco,5-1-0,--,155 lbs.,--,,"Aug 26, 1986"
Jeremy Lang,21-2-0,"5' 11""",205 lbs.,--,Southpaw,"May 11, 1975"
Lionel Lanham,5-1-0,--,205 lbs.,--,,"Aug 31, 1980"
Lina Lansberg,10-8-0,"5' 7""",135 lbs.,"65""",Orthodox,"Mar 13, 1982"
Taylor Lapilus,19-4-0,"5' 6""",135 lbs.,"73""",Southpaw,"Apr 08, 1992"
Chad Laprise,13-4-0,"5' 10""",170 lbs.,"71""",Orthodox,"Jul 23, 1986"
Anthony Lapsley,23-7-0 (2 NC),"5' 9""",170 lbs.,--,Southpaw,"Feb 13, 1980"
TJ Laramie,12-5-0,"5' 6""",145 lbs.,"66""",Orthodox,"Oct 15, 1997"
Icho Larenas,6-5-0,"6' 3""",235 lbs.,--,Orthodox,"Mar 12, 1980"
Lorenz Larkin,18-6-0 (1 NC),"5' 11""",170 lbs.,"72""",Orthodox,"Sep 03, 1986"
Jeremy Larsen,8-5-0,"5' 10""",145 lbs.,"70""",Orthodox,"May 18, 1984"
Brock Larson,42-10-0,"5' 11""",170 lbs.,"71""",Southpaw,"Aug 23, 1977"
Ryan Larson,6-2-0,--,170 lbs.,--,,"Dec 30, 1980"
Bobby Lashley,15-2-0,"6' 3""",255 lbs.,"78""",Orthodox,"Jul 16, 1976"
Ilir Latifi,17-9-0 (1 NC),"5' 10""",230 lbs.,"73""",Orthodox,"Jul 28, 1982"
Sione Latu,1-0-0,"6' 0""",215 lbs.,--,,--
Jenel Lausa,7-5-0,"5' 5""",125 lbs.,"68""",Orthodox,"Aug 01, 1988"
Joe Lauzon,28-16-0,"5' 10""",155 lbs.,"71""",Orthodox,"May 22, 1984"
Dan Lauzon,17-6-0,"5' 10""",155 lbs.,--,Orthodox,"Mar 30, 1988"
Sandra Lavado,10-3-0,"5' 7""",115 lbs.,"66""",Orthodox,"May 03, 1994"
Chatt Lavender,9-7-0,"5' 8""",170 lbs.,--,,"May 24, 1976"
Muhammed Lawal,21-6-0 (1 NC),"6' 0""",205 lbs.,"78""",Southpaw,"Jan 11, 1981"
Robbie Lawler,30-16-0 (1 NC),"5' 11""",170 lbs.,"74""",Southpaw,"Mar 20, 1982"
Tom Lawlor,10-6-0 (1 NC),"6' 0""",205 lbs.,"74""",Southpaw,"May 15, 1983"
Justin Lawrence,10-4-0,"5' 8""",145 lbs.,"67""",Orthodox,"May 15, 1990"
Lance Lawrence,4-1-0,"6' 1""",145 lbs.,"74""",Orthodox,"Jun 26, 1993"
Ronnie Lawrence,8-2-0 (1 NC),"5' 8""",135 lbs.,"68""",Switch,"Jun 13, 1992"
Eric Lawson,9-5-0,"6' 0""",185 lbs.,--,Orthodox,--
Jimmy Lawson,4-2-0,"6' 0""",265 lbs.,"77""",Orthodox,"Nov 13, 1991"
Valmir Lazaro,15-5-0,"6' 0""",155 lbs.,"73""",Orthodox,"Aug 15, 1985"
Zviad Lazishvili,13-1-0,"5' 6""",135 lbs.,"69""",Orthodox,"Oct 25, 1991"
Mounir Lazzez,11-3-0,"6' 1""",170 lbs.,"76""",Orthodox,"Nov 16, 1987"
Cung Le,9-3-0,"5' 9""",185 lbs.,"70""",Southpaw,"May 25, 1972"
Thanh Le,6-1-0,"5' 9""",145 lbs.,"74""",Orthodox,"Aug 28, 1985"
Jordan Leavitt,11-3-0,"5' 9""",155 lbs.,"71""",Southpaw,"Jun 02, 1995"
Jerome LeBanner,3-2-0,"6' 3""",265 lbs.,--,Southpaw,"Dec 26, 1972"
Chris Leben,22-11-0,"5' 11""",185 lbs.,"73""",Southpaw,"Jul 21, 1980"
Mickael Lebout,16-7-1 (1 NC),"5' 11""",155 lbs.,"73""",Orthodox,"Aug 16, 1987"
Stephen Ledbetter,8-3-0,"5' 9""",145 lbs.,--,Orthodox,"Jun 30, 1982"
Justin Ledet,9-4-0 (1 NC),"6' 4""",205 lbs.,"80""",Orthodox,"Sep 28, 1988"
James Lee,15-3-0 (1 NC),"5' 11""",205 lbs.,--,Southpaw,"Sep 22, 1973"
David Lee,12-10-0,"5' 10""",155 lbs.,--,Orthodox,--
Jackie Lee,0-1-0,--,--,--,,--
Eun Soo Lee,17-4-0 (1 NC),"6' 1""",215 lbs.,--,Orthodox,"Mar 07, 1982"
Tae Hyun Lee,1-2-0,"6' 6""",295 lbs.,--,Orthodox,"Jan 17, 1975"
Tommy Lee,25-6-0 (1 NC),"5' 7""",145 lbs.,--,Orthodox,"Jan 20, 1977"
Matt Lee,14-10-1,"5' 11""",155 lbs.,--,Orthodox,--
Imani Lee,2-4-0,--,--,--,Orthodox,--
Vaughan Lee,14-13-1,"5' 6""",125 lbs.,"66""",Orthodox,"Oct 15, 1982"
Kevin Lee,18-8-0,"5' 9""",170 lbs.,"77""",Orthodox,"Sep 04, 1992"
Rocky Lee,3-2-0,"5' 9""",145 lbs.,--,Orthodox,"Apr 08, 1987"
Andrea Lee,13-8-0,"5' 6""",125 lbs.,"69""",Orthodox,"Feb 11, 1989"
JeongYeong Lee,10-1-0,"5' 10""",145 lbs.,"73""",Orthodox,"Nov 13, 1995"
JungHyun Lee,8-1-0,"5' 5""",125 lbs.,"65""",Orthodox,"Sep 10, 2002"
ChangHo Lee,9-1-0,"5' 8""",135 lbs.,"69""",Orthodox,"May 09, 1994"
Ricky Legere Jr.,14-4-0,"5' 8""",170 lbs.,--,,--
Sherron Leggett,21-6-0,"5' 8""",155 lbs.,--,Southpaw,"Oct 27, 1978"
Cheyden Leialoha,6-0-0,"5' 8""",135 lbs.,"73""",Orthodox,"Mar 15, 1994"
Claudia Leite,8-3-0,"5' 3""",135 lbs.,"64""",Orthodox,"Nov 04, 1996"
Thales Leites,28-9-0,"6' 1""",185 lbs.,"78""",Orthodox,"Sep 06, 1981"
Stefan Leko,0-3-0,"6' 2""",215 lbs.,--,Orthodox,"Jun 03, 1974"
Gabe Lemley,13-9-0,"5' 8""",155 lbs.,--,Orthodox,--
Amanda Lemos,13-3-1,"5' 4""",115 lbs.,"65""",Southpaw,"May 22, 1987"
Giacomo Lemos,6-0-0,"6' 3""",247 lbs.,"75""",Orthodox,"Jun 23, 1989"
Christophe Leninger,3-4-0,"6' 0""",200 lbs.,--,Southpaw,--
Jesse Lennox,14-4-0,"5' 9""",170 lbs.,"72""",Orthodox,"Mar 10, 1982"
Jean Francois Lenogue,16-17-3,"6' 0""",185 lbs.,--,Orthodox,"Nov 29, 1972"
Nik Lentz,30-12-2 (1 NC),"5' 8""",145 lbs.,"68""",Orthodox,"Aug 13, 1984"
Alberta Cerra Leon,0-1-0,"5' 8""",238 lbs.,--,,--
Victoria Leonardo,9-6-0,"5' 5""",125 lbs.,"64""",Orthodox,"Feb 16, 1990"
Anthony Leone,15-8-0,"5' 6""",135 lbs.,--,Orthodox,"May 27, 1987"
Chad Leonhardt,9-4-0,"6' 0""",170 lbs.,--,,"Feb 19, 1980"
Kimo Leopoldo,10-7-1,"6' 3""",235 lbs.,--,Orthodox,"Jan 05, 1968"
Michael Lerma,0-1-0,--,--,--,,--
Lukasz Les,8-3-0,--,170 lbs.,--,,"Nov 05, 1981"
Brock Lesnar,5-3-0 (1 NC),"6' 3""",265 lbs.,"81""",Orthodox,"Jul 12, 1977"
Frank Lester,11-6-0 (1 NC),"5' 11""",170 lbs.,--,Orthodox,"Jun 10, 1984"
Valerie Letourneau,8-6-0,"5' 7""",115 lbs.,"68""",Orthodox,"Apr 29, 1983"
Leah Letson,5-3-0,"5' 7""",145 lbs.,"71""",Southpaw,"Aug 21, 1992"
Justin Levens,10-7-0,"5' 11""",185 lbs.,--,Orthodox,"Apr 18, 1980"
Marcus LeVesseur,22-7-0,"5' 9""",155 lbs.,"70""",Southpaw,"Jul 17, 1982"
David Levicki,1-3-0,"6' 5""",275 lbs.,--,,--
Kyle Levinton,0-3-0,--,--,--,,--
Natan Levy,8-1-0,"5' 9""",155 lbs.,"71""",Southpaw,"Sep 30, 1991"
John Lewis,3-4-3,"6' 0""",155 lbs.,--,Southpaw,--
Derrick Lewis,27-12-0 (1 NC),"6' 3""",260 lbs.,"79""",Orthodox,"Feb 07, 1985"
Bevon Lewis,7-3-0,"6' 3""",185 lbs.,"79""",Orthodox,"May 05, 1991"
Brandon Lewis,6-2-0,"5' 4""",135 lbs.,"70""",Orthodox,"Aug 02, 1997"
Malik Lewis,6-2-0,"6' 0""",155 lbs.,"75""",Orthodox,"Mar 04, 1996"
Chi Lewis-Parry,7-0-1 (2 NC),"6' 9""",243 lbs.,--,,"Aug 10, 1983"
Li Jingliang,19-8-0,"6' 0""",170 lbs.,"71""",Orthodox,"Mar 20, 1988"
Liang Na,19-7-0,"5' 5""",125 lbs.,"67""",Orthodox,"Jul 27, 1996"
Jess Liaudin,20-11-0,"5' 9""",170 lbs.,"72""",Orthodox,--
Chuck Liddell,21-8-0,"6' 2""",205 lbs.,"76""",Orthodox,"Dec 17, 1969"
Rodrigo Lidio,12-3-0,"5' 11""",155 lbs.,"73""",Orthodox,"Jul 07, 1989"
Sam Liera,12-10-0,--,--,--,,--
Zach Light,9-11-0,"5' 8""",170 lbs.,--,Orthodox,"Feb 06, 1974"
Scott Lighty,6-2-0,"6' 2""",205 lbs.,--,,"Oct 15, 1978"
Chris Liguori,15-10-0,"5' 9""",185 lbs.,--,Orthodox,--
Donnie Liles,17-7-0,"5' 9""",170 lbs.,--,Orthodox,--
Jae Suk Lim,17-6-0,"5' 9""",170 lbs.,--,Orthodox,"Nov 09, 1979"
Hyun Gyu Lim,13-7-1,"6' 3""",170 lbs.,"77""",Orthodox,"Jan 16, 1985"
Juliana Lima,9-5-0,"5' 5""",115 lbs.,"65""",Orthodox,"Mar 15, 1982"
Dhiego Lima,17-9-0,"6' 2""",170 lbs.,"75""",Orthodox,"Jan 31, 1989"
Douglas Lima,29-6-0,"6' 1""",170 lbs.,--,,"Jan 05, 1988"
Mabelly Lima,7-1-0,"5' 2""",135 lbs.,--,Orthodox,"Jan 25, 1994"
Andre Lima,7-0-0,"5' 7""",125 lbs.,"67""",Orthodox,"Feb 04, 1999"
Miguel Linares,2-4-0,--,--,--,,--
Emiliano Linares,8-2-0,"5' 8""",145 lbs.,"72""",Orthodox,"Apr 21, 1997"
Matt Lindland,22-9-0,"6' 0""",185 lbs.,"74""",Southpaw,"May 17, 1970"
Jake Lindsey,12-7-0,"5' 11""",155 lbs.,--,Switch,"Jun 21, 1986"
John Lineker,31-9-0,"5' 3""",135 lbs.,"67""",Orthodox,"Jun 12, 1990"
Austin Lingo,9-3-0,"5' 10""",145 lbs.,"70""",Orthodox,"Jul 10, 1994"
Lucio Linhares,19-8-0,"6' 2""",185 lbs.,--,Orthodox,"Dec 08, 1973"
Philipe Lins,17-5-0,"6' 2""",205 lbs.,"78""",Orthodox,"Aug 17, 1985"
Ariane Lipski,17-8-0,"5' 6""",125 lbs.,"67""",Orthodox,"Jan 26, 1994"
Tainara Lisboa,7-2-0,"5' 7""",135 lbs.,"67""",Orthodox,"Mar 02, 1991"
Dean Lister,13-7-0,"6' 1""",185 lbs.,"75""",Orthodox,"Feb 13, 1976"
Wesley Little,4-8-0,"6' 4""",205 lbs.,--,,--
James Llontop,14-2-0,"6' 0""",155 lbs.,"73""",Orthodox,"Aug 02, 1999"
Abner Lloveras,20-9-1,"5' 11""",155 lbs.,--,,"Sep 04, 1982"
Brian Lo-A-Njoe,6-10-3,"5' 7""",155 lbs.,--,Orthodox,--
John Lober,5-9-4,"5' 11""",199 lbs.,--,Orthodox,"Feb 26, 1968"
Artem Lobov,13-15-1 (1 NC),"5' 9""",145 lbs.,"65""",Southpaw,"Aug 11, 1986"
Dylan Lockard,6-2-0,"5' 9""",145 lbs.,"72""",Orthodox,"May 19, 1992"
Sean Loeffler,31-5-0,"6' 3""",185 lbs.,--,Orthodox,"May 23, 1982"
Christian Lohsen,4-2-0,"6' 2""",155 lbs.,"77""",Southpaw,"Jan 24, 1995"
David Loiseau,23-11-0,"6' 0""",185 lbs.,"76""",Orthodox,"Dec 17, 1979"
Hector Lombard,34-10-1 (2 NC),"5' 9""",185 lbs.,"71""",Southpaw,"Feb 02, 1978"
Michael Lombardo,11-2-0 (1 NC),"6' 0""",170 lbs.,"72""",Orthodox,"Apr 03, 1990"
Rocky Long,21-37-1,--,145 lbs.,--,,"Feb 18, 1978"
Thomas Longacre,6-1-0,"5' 9""",145 lbs.,--,Orthodox,--
Loma Lookboonmee,8-3-0,"5' 1""",115 lbs.,"61""",Orthodox,"Jan 18, 1996"
Ange Loosa,10-3-0,"5' 10""",170 lbs.,"74""",Orthodox,"Mar 18, 1993"
Lucas Lopes,29-19-0,"6' 2""",185 lbs.,--,,"Oct 05, 1979"
Dileno Lopes,19-3-0,"5' 5""",135 lbs.,--,,"Sep 26, 1984"
Diego Lopes,23-6-0,"5' 11""",145 lbs.,"72""",Orthodox,"Dec 30, 1994"
Bruno Lopes,11-1-0,"6' 2""",205 lbs.,"75""",Orthodox,"Apr 24, 1993"
Ivan Lopez,14-3-1,"5' 6""",135 lbs.,--,Southpaw,--
Steve Lopez,13-6-1,"5' 11""",155 lbs.,--,Orthodox,"Jul 30, 1984"
Federico Lopez,10-6-0,"5' 4""",139 lbs.,--,Orthodox,--
Jorge Lopez,11-5-0,"5' 10""",170 lbs.,--,Orthodox,"Nov 21, 1988"
Christopher Lopez,9-1-0 (1 NC),"5' 10""",170 lbs.,--,,"Jan 30, 1986"
Matthew Lopez,10-4-0,"5' 7""",135 lbs.,"69""",Southpaw,"Jan 21, 1987"
Benito Lopez,10-2-0,"5' 10""",135 lbs.,"73""",Switch,"Apr 06, 1994"
Gustavo Lopez,12-6-1,"5' 5""",135 lbs.,"67""",Orthodox,"Jun 27, 1989"
Brendan Loughnane,17-3-0,"5' 10""",145 lbs.,"70""",Switch,"Dec 05, 1989"
Nate Loughran,11-2-0,"6' 2""",185 lbs.,--,Orthodox,"Jul 28, 1980"
Caolan Loughran,8-1-0,"5' 6""",135 lbs.,"68""",Orthodox,"May 18, 1996"
Rashard Lovelace,4-1-0,--,155 lbs.,--,,--
Ian Loveland,18-10-0,"5' 8""",145 lbs.,--,Orthodox,"Sep 07, 1983"
Jakob Lovstad,11-4-0,"6' 3""",205 lbs.,--,Orthodox,--
Waylon Lowe,16-7-0 (2 NC),"5' 7""",145 lbs.,--,Southpaw,"Oct 31, 1980"
Brandon Lowe,2-1-0,--,155 lbs.,--,,--
Joe Lowry,9-2-0,"5' 11""",155 lbs.,"73""",Orthodox,"Dec 12, 1989"
Lu Kai,8-5-0 (1 NC),"5' 9""",145 lbs.,"69""",Orthodox,"Mar 01, 1994"
Lu Zhengyong,12-7-0,--,125 lbs.,--,,--
Robert Lucarelli,0-1-0,"6' 2""",245 lbs.,--,,--
Matt Lucas,15-3-0,"6' 1""",205 lbs.,--,,--
Cleber Luciano,14-6-0,"5' 6""",155 lbs.,--,,--
Stephanie Luciano,5-1-1,"5' 6""",115 lbs.,"65""",Orthodox,"Dec 16, 1999"
Iasmin Lucindo,15-5-0,"5' 3""",115 lbs.,"66""",Orthodox,"Jan 08, 2002"
Duane Ludwig,21-14-0,"5' 10""",170 lbs.,"70""",Orthodox,"Aug 04, 1978"
Mike Lullo,8-3-0,"5' 8""",145 lbs.,--,Orthodox,"Jul 24, 1979"
Dalcha Lungiambula,11-6-0,"5' 8""",185 lbs.,"76""",Orthodox,"Jul 31, 1987"
Alexandru Lungu,14-4-0,"6' 0""",385 lbs.,--,Orthodox,"Sep 03, 1974"
Vicente Luque,22-9-1,"5' 11""",170 lbs.,"75""",Orthodox,"Nov 27, 1991"
Thaddeus Luster,0-1-0,"6' 3""",210 lbs.,--,,--
Travis Lutter,10-6-0,"5' 11""",185 lbs.,"75""",Orthodox,"May 12, 1973"
Tucker Lutz,12-4-0,"5' 8""",145 lbs.,"72""",Orthodox,"Jul 12, 1994"
Lv Zhenhong,16-6-0,"5' 8""",145 lbs.,"67""",Switch,"Jun 25, 1993"
Stevie Lynch,5-2-0,"5' 10""",170 lbs.,--,Orthodox,--
Adam Lynn,17-10-0 (1 NC),"5' 10""",155 lbs.,--,Orthodox,--
Chris Lytle,31-18-5,"5' 11""",170 lbs.,"68""",Orthodox,"Aug 18, 1974"
Dong Hyun Ma,16-11-3,"5' 11""",155 lbs.,"70""",Orthodox,"Sep 09, 1988"
Pawan Maan,7-3-1,"5' 7""",155 lbs.,"70""",Orthodox,"Apr 06, 1986"
William Macario,9-3-0,"5' 11""",170 lbs.,"75""",Orthodox,"Jul 01, 1991"
Jason MacDonald,25-16-0,"6' 3""",185 lbs.,"80""",Orthodox,"Jun 03, 1975"
Rob MacDonald,5-4-0,"6' 3""",205 lbs.,"78""",Orthodox,"Sep 05, 1978"
Rory MacDonald,19-4-0,"6' 0""",170 lbs.,"76""",Orthodox,"Jul 22, 1989"
Ryan MacDonald,10-2-0,"5' 11""",135 lbs.,"71""",Switch,"Mar 18, 1993"
Clayton MacFarlane,4-1-0,--,170 lbs.,--,,--
Ilima Macfarlane,6-0-0,"5' 4""",125 lbs.,--,,--
Valesca Machado,8-3-0 (1 NC),"5' 4""",115 lbs.,"63""",Orthodox,"May 06, 1996"
Caio Machado,8-2-1,"6' 4""",250 lbs.,"78""",Southpaw,"Jul 20, 1994"
Lyoto Machida,24-8-0,"6' 1""",185 lbs.,"74""",Southpaw,"May 30, 1978"
War Machine,14-5-0,"5' 11""",170 lbs.,--,Orthodox,"Nov 30, 1981"
Anthony Macias,26-18-0,"5' 9""",185 lbs.,--,Switch,--
Pauline Macias,4-1-0,"5' 4""",115 lbs.,"64""",Southpaw,"Jun 27, 1988"
Reza Madadi,14-6-0,"5' 11""",155 lbs.,"73""",Orthodox,"Jun 20, 1978"
Don Madge,9-3-1,"6' 0""",155 lbs.,"72""",Southpaw,"Nov 12, 1990"
Ryan Madigan,5-3-0,"6' 0""",170 lbs.,--,Orthodox,--
Victor Madrigal,15-5-0,"5' 7""",135 lbs.,"71""",Orthodox,"Aug 16, 1990"
Jon Madsen,8-2-0,"6' 0""",240 lbs.,"72""",Orthodox,"Feb 12, 1980"
Mark Madsen,12-2-0,"5' 8""",155 lbs.,"72""",Orthodox,"Sep 23, 1984"
Yoshiro Maeda,35-16-5,"5' 7""",139 lbs.,"68""",Southpaw,"Oct 31, 1981"
Leonardo Mafra,13-4-0,"5' 10""",155 lbs.,"70""",Orthodox,"Apr 25, 1989"
Vinny Magalhaes,14-9-0 (1 NC),"6' 3""",205 lbs.,"75""",Orthodox,"Jul 02, 1984"
Vinicius Magalhaes,2-1-0,--,145 lbs.,--,,"Jul 30, 1971"
Caio Magalhaes,10-3-0,"6' 1""",185 lbs.,"73""",Orthodox,"Dec 14, 1987"
Bernardo Magalhaes,13-4-0,"5' 9""",155 lbs.,--,Orthodox,"Apr 08, 1981"
Eric Magana,1-1-0,--,--,--,,--
Brandon Magana,6-2-0,--,170 lbs.,--,Orthodox,--
Angela Magana,11-9-0,"5' 1""",115 lbs.,"65""",Orthodox,"Aug 02, 1983"
Neil Magny,29-12-0,"6' 3""",170 lbs.,"80""",Orthodox,"Aug 03, 1987"
Raimond Magomedaliev,10-2-0,"6' 1""",170 lbs.,"75""",Orthodox,"Jun 10, 1990"
Ibragim Magomedov,22-8-1,"6' 0""",250 lbs.,--,Orthodox,--
Rashid Magomedov,20-2-0,"5' 9""",155 lbs.,"70""",Orthodox,"Nov 29, 1984"
Ruslan Magomedov,14-1-0,"6' 3""",242 lbs.,"78""",Orthodox,"Nov 26, 1986"
Abus Magomedov,25-6-1,"6' 2""",185 lbs.,"78""",Orthodox,"Sep 02, 1990"
Shara Magomedov,12-0-0,"6' 2""",185 lbs.,"73""",Orthodox,"May 16, 1994"
Zabit Magomedsharipov,18-1-0,"6' 1""",145 lbs.,"73""",Orthodox,"Mar 01, 1991"
John Maguire,24-9-0,"5' 9""",155 lbs.,"69""",Southpaw,"May 19, 1983"
Lolohea Mahe,10-4-1,--,--,--,,--
Michelle Maher,1-2-0,--,145 lbs.,--,,--
Maheshate,9-3-0,"6' 0""",155 lbs.,"71""",Orthodox,"Dec 01, 1999"
Bill Mahood,20-7-1 (1 NC),"6' 3""",200 lbs.,--,Orthodox,"Feb 01, 1967"
Klayton Mai,8-3-0,"5' 9""",125 lbs.,--,,"Nov 30, 1986"
Demian Maia,28-11-0,"6' 1""",170 lbs.,"72""",Southpaw,"Nov 06, 1977"
Jennifer Maia,21-10-1,"5' 4""",125 lbs.,"64""",Orthodox,"Oct 06, 1988"
Nayara Maia,7-1-1,"5' 5""",125 lbs.,"66""",Orthodox,"Jul 25, 1990"
Roshan Mainam,6-3-0,--,135 lbs.,--,,--
Levan Makashvili,15-2-1,"5' 8""",145 lbs.,"68""",Orthodox,"Jan 07, 1989"
John Makdessi,18-9-0,"5' 8""",155 lbs.,"68""",Orthodox,"May 03, 1985"
Islam Makhachev,25-1-0,"5' 10""",155 lbs.,"70""",Southpaw,"Oct 27, 1991"
Aliev Makhmud,0-1-0,"5' 6""",195 lbs.,--,Southpaw,"Feb 13, 1970"
Zach Makovsky,20-8-0,"5' 4""",125 lbs.,"64""",Southpaw,"Apr 19, 1983"
Azat Maksum,17-0-0,"5' 7""",125 lbs.,"70""",Southpaw,"Feb 02, 1995"
Jeremy Malaterre,4-2-0,"5' 11""",155 lbs.,--,,--
Fabio Maldonado,23-11-0,"6' 1""",205 lbs.,"75""",Orthodox,"Mar 17, 1980"
Marvin Maldonado,2-4-0 (1 NC),"5' 6""",135 lbs.,--,,--
Bea Malecki,4-1-0,"5' 9""",135 lbs.,"74""",Orthodox,"Aug 23, 1991"
Nazareno Malegarie,28-4-0,"5' 8""",155 lbs.,--,,"May 16, 1986"
Carl Malenko,6-4-0,"5' 11""",200 lbs.,--,Orthodox,--
Jacob Malkoun,7-3-0,"5' 9""",185 lbs.,"73""",Orthodox,"Aug 26, 1995"
Mike Malott,10-2-1,"6' 1""",170 lbs.,"73""",Orthodox,"Nov 07, 1991"
Dan Manasoiu,0-0-0,--,--,--,,--
Troy Mandaloniz,3-2-0,"5' 9""",170 lbs.,--,Orthodox,"Feb 01, 1980"
Nate Maness,15-3-0,"5' 10""",125 lbs.,"72""",Orthodox,"Jun 27, 1991"
Michael Mangan,0-3-0,--,155 lbs.,--,,--
Gary Mangat,15-3-0,"5' 7""",135 lbs.,--,,--
Melvin Manhoef,30-14-1 (2 NC),"5' 9""",185 lbs.,--,Orthodox,"May 11, 1976"
Melchor Manibusan,2-4-0,"5' 5""",154 lbs.,--,Southpaw,"Dec 27, 1976"
Jon Manley,9-4-0,"6' 1""",170 lbs.,--,Orthodox,"Jul 07, 1986"
Steve Mann,12-5-0,"6' 1""",170 lbs.,--,,--
Marnic Mann,6-2-0,"5' 0""",115 lbs.,"64""",Southpaw,"Mar 05, 1993"
Dylan Mantello,7-3-0,"6' 1""",155 lbs.,"73""",Orthodox,"Nov 19, 1992"
Chris Manuel,9-7-2,"5' 9""",135 lbs.,--,Orthodox,"Jul 21, 1987"
Jimi Manuwa,17-6-0,"6' 1""",205 lbs.,"79""",Orthodox,"Feb 18, 1980"
Cristiano Marcello,13-6-0,"5' 9""",155 lbs.,"72""",Orthodox,"Dec 03, 1977"
Daniel Marcos,15-0-0,"5' 7""",135 lbs.,"69""",Orthodox,"Mar 07, 1993"
Jose Maria,37-7-0 (2 NC),"5' 5""",125 lbs.,--,Orthodox,"Jan 04, 1982"
Marcos Mariano,6-6-0,"6' 1""",155 lbs.,"76""",Switch,"Oct 12, 1986"
Enrique Marin,10-4-0,"5' 10""",170 lbs.,--,,"Sep 02, 1986"
Chepe Mariscal,15-6-1,"5' 7""",145 lbs.,"69""",Orthodox,"Oct 27, 1992"
Ronny Markes,17-5-0,"6' 1""",185 lbs.,"75""",Orthodox,"Apr 21, 1988"
Rory Markham,17-6-0,"6' 0""",170 lbs.,"71""",Orthodox,"Mar 25, 1982"
Randa Markos,11-12-1,"5' 4""",115 lbs.,"63""",Orthodox,"Aug 10, 1985"
